alert_packet_id,packet_start_plot_order_index,packet_end_plot_order_index,packet_row_count,rows_from_packet_start_to_broken,contains_pre_failure_alert,contains_failure_hit,contains_recovery_alert,contains_stable_normal_alert
337,153244,153245,2,-136089,0,0,0,1
338,153296,153296,1,-136141,0,0,0,1
339,153320,153323,3,-136165,0,0,0,1
340,153352,153352,1,-136197,0,0,0,1
341,153448,153452,3,-136293,0,0,0,1
342,153849,153849,1,-136694,0,0,0,1
343,153880,153880,1,-136725,0,0,0,1
344,153893,153895,2,-136738,0,0,0,1
345,153918,153925,7,-136763,0,0,0,1
346,153931,153940,8,-136776,0,0,0,1
347,153951,153956,4,-136796,0,0,0,1
348,153962,153962,1,-136807,0,0,0,1
349,153993,153993,1,-136838,0,0,0,1
350,154032,154032,1,-136877,0,0,0,1
351,154096,154105,7,-136941,0,0,0,1
352,154131,154135,5,-136976,0,0,0,1
353,154168,154172,4,-137013,0,0,0,1
354,154279,154283,2,-137124,0,0,0,1
355,154316,154319,2,-137161,0,0,0,1
356,154878,154893,14,-137723,0,0,0,1
357,155007,155169,160,-137852,0,0,0,1
358,155318,155337,19,-138163,0,0,0,1
359,155344,155356,9,-138189,0,0,0,1
360,155366,155367,2,-138211,0,0,0,1
361,155381,155381,1,-138226,0,0,0,1
362,155392,155429,33,-138237,0,0,0,1
363,155438,155443,6,-138283,0,0,0,1
364,155457,155459,3,-138302,0,0,0,1
365,155466,155479,11,-138311,0,0,0,1
366,155485,155492,5,-138330,0,0,0,1
367,155498,155498,1,-138343,0,0,0,1
368,155514,155528,15,-138359,0,0,0,1
369,155710,155716,3,-138555,0,0,0,1
370,155796,155796,1,-138641,0,0,0,1
371,156042,156050,8,-138887,0,0,0,1
372,156056,156058,2,-138901,0,0,0,1
373,156125,156125,1,-138970,0,0,0,1
374,156240,156251,11,-139085,0,0,0,1
375,156412,156414,2,-139257,0,0,0,1
376,156420,156421,2,-139265,0,0,0,1
377,156634,156639,6,-139479,0,0,0,1
378,156941,156941,1,-139786,0,0,0,1
379,156962,156967,6,-139807,0,0,0,1
380,157098,157098,1,-139943,0,0,0,1
381,157144,157144,1,-139989,0,0,0,1
382,157344,157344,1,-140189,0,0,0,1
383,157362,157372,4,-140207,0,0,0,1
384,157452,157452,1,-140297,0,0,0,1
385,157556,157556,1,-140401,0,0,0,1
386,157589,157605,13,-140434,0,0,0,1
387,157633,157633,1,-140478,0,0,0,1
388,157640,157640,1,-140485,0,0,0,1
389,158990,158999,8,-141835,0,0,0,1
390,159710,159715,6,-142555,0,0,0,1
391,160033,160038,4,-142878,0,0,0,1
392,160206,160209,3,-143051,0,0,0,1
393,160220,160221,2,-143065,0,0,0,1
394,160228,160228,1,-143073,0,0,0,1
395,160263,160280,15,-143108,0,0,0,1
396,160305,160305,1,-143150,0,0,0,1
397,160435,160445,10,-143280,0,0,0,1
398,160456,160498,29,-143301,0,0,0,1
399,160565,160565,1,-143410,0,0,0,1
400,160631,160636,5,-143476,0,0,0,1
401,160682,160689,6,-143527,0,0,0,1
402,160880,160880,1,-143725,0,0,0,1
403,160890,160891,2,-143735,0,0,0,1
404,160989,160989,1,-143834,0,0,0,1
405,161084,161084,1,-143929,0,0,0,1
406,161222,161222,1,-144067,0,0,0,1
407,161242,161248,4,-144087,0,0,0,1
408,161280,161281,2,-144125,0,0,0,1
409,161290,161291,2,-144135,0,0,0,1
410,161495,161495,1,-144340,0,0,0,1
411,161990,161990,1,-144835,0,0,0,1
412,162358,162366,8,-145203,0,0,0,1
413,162588,162588,1,-145433,0,0,0,1
414,162600,162601,2,-145445,0,0,0,1
415,162649,162651,2,-145494,0,0,0,1
416,162658,162663,6,-145503,0,0,0,1
417,162669,162669,1,-145514,0,0,0,1
418,162678,162691,13,-145523,0,0,0,1
419,162706,162718,4,-145551,0,0,0,1
420,162729,162731,3,-145574,0,0,0,1
421,162738,162738,1,-145583,0,0,0,1
422,162765,162766,2,-145610,0,0,0,1
423,162775,162777,2,-145620,0,0,0,1
424,162785,162785,1,-145630,0,0,0,1
425,162792,162798,4,-145637,0,0,0,1
426,162832,162837,3,-145677,0,0,0,1
427,162851,162851,1,-145696,0,0,0,1
428,162857,162863,5,-145702,0,0,0,1
429,162927,162936,6,-145772,0,0,0,1
430,163042,163042,1,-145887,0,0,0,1
431,163056,163056,1,-145901,0,0,0,1
432,163103,163105,3,-145948,0,0,0,1
433,163191,163197,5,-146036,0,0,0,1
434,163212,163215,4,-146057,0,0,0,1
435,163226,163226,1,-146071,0,0,0,1
436,163247,163249,2,-146092,0,0,0,1
437,163277,163277,1,-146122,0,0,0,1
438,163351,163357,5,-146196,0,0,0,1
439,163386,163395,8,-146231,0,0,0,1
440,163402,163402,1,-146247,0,0,0,1
441,163490,163496,6,-146335,0,0,0,1
442,163523,163523,1,-146368,0,0,0,1
443,163635,163646,5,-146480,0,0,0,1
444,164075,164077,2,-146920,0,0,0,1
445,164116,164118,3,-146961,0,0,0,1
446,164162,164164,3,-147007,0,0,0,1
447,164182,164182,1,-147027,0,0,0,1
448,164214,164222,5,-147059,0,0,0,1
449,165191,165198,4,-148036,0,0,0,1
450,165240,165242,3,-148085,0,0,0,1
451,165252,165252,1,-148097,0,0,0,1
452,165292,165301,7,-148137,0,0,0,1
453,165308,165312,4,-148153,0,0,0,1
454,165396,165396,1,-148241,0,0,0,1
455,165446,165448,3,-148291,0,0,0,1
456,165530,165536,4,-148375,0,0,0,1
457,165567,165567,1,-148412,0,0,0,1
458,165671,165672,2,-148516,0,0,0,1
459,165690,165690,1,-148535,0,0,0,1
460,165754,165754,1,-148599,0,0,0,1
461,165762,165775,9,-148607,0,0,0,1
462,165802,165821,10,-148647,0,0,0,1
463,165837,165837,1,-148682,0,0,0,1
464,165851,165872,13,-148696,0,0,0,1
465,165878,165892,7,-148723,0,0,0,1
466,165903,165904,2,-148748,0,0,0,1
467,165913,165913,1,-148758,0,0,0,1
468,165959,165959,1,-148804,0,0,0,1
469,165973,165990,12,-148818,0,0,0,1
470,166024,166029,2,-148869,0,0,0,1
471,166464,166530,61,-149309,0,0,0,1
472,166540,166552,13,-149385,0,0,0,1
473,166572,166628,55,-149417,0,0,0,1
474,166655,166655,1,-149500,0,0,0,1
475,166676,166689,14,-149521,0,0,0,1
476,166702,166713,9,-149547,0,0,0,1
477,166723,166725,3,-149568,0,0,0,1
478,166733,166756,24,-149578,0,0,0,1
479,166763,166831,69,-149608,0,0,0,1
480,166841,166940,91,-149686,0,0,0,1
481,166951,166956,5,-149796,0,0,0,1
482,166987,167007,21,-149832,0,0,0,1
483,167015,167046,25,-149860,0,0,0,1
484,167058,167080,19,-149903,0,0,0,1
485,167098,167106,5,-149943,0,0,0,1
486,167120,167132,13,-149965,0,0,0,1
487,167151,167152,2,-149996,0,0,0,1
488,167192,167198,4,-150037,0,0,0,1
489,167472,167472,1,-150317,0,0,0,1
490,167575,167575,1,-150420,0,0,0,1
491,167626,167634,8,-150471,0,0,0,1
492,167690,167692,3,-150535,0,0,0,1
493,167700,167708,5,-150545,0,0,0,1
494,167763,167764,2,-150608,0,0,0,1
495,167774,167775,2,-150619,0,0,0,1
496,167787,167790,4,-150632,0,0,0,1
497,167806,167814,9,-150651,0,0,0,1
498,167822,167845,21,-150667,0,0,0,1
499,167856,167907,45,-150701,0,0,0,1
500,167913,167913,1,-150758,0,0,0,1
501,167991,167991,1,-150836,0,0,0,1
502,168002,168002,1,-150847,0,0,0,1
503,168088,168104,12,-150933,0,0,0,1
504,168131,168132,2,-150976,0,0,0,1
505,168138,168138,1,-150983,0,0,0,1
506,168149,168149,1,-150994,0,0,0,1
507,168160,168175,16,-151005,0,0,0,1
508,168183,168184,2,-151028,0,0,0,1
509,168225,168227,3,-151070,0,0,0,1
510,168236,168242,4,-151081,0,0,0,1
511,168354,168354,1,-151199,0,0,0,1
512,168377,168379,3,-151222,0,0,0,1
513,168391,168391,1,-151236,0,0,0,1
514,168409,168409,1,-151254,0,0,0,1
515,168426,168427,2,-151271,0,0,0,1
516,168536,168536,1,-151381,0,0,0,1
517,168598,168598,1,-151443,0,0,0,1
518,168716,168716,1,-151561,0,0,0,1
519,168950,168951,2,-151795,0,0,0,1
520,168989,168989,1,-151834,0,0,0,1
521,168996,168996,1,-151841,0,0,0,1
522,169064,169064,1,-151909,0,0,0,1
523,169074,169093,13,-151919,0,0,0,1
524,169117,169122,3,-151962,0,0,0,1
525,169130,169137,8,-151975,0,0,0,1
526,169165,169165,1,-152010,0,0,0,1
527,169187,169208,20,-152032,0,0,0,1
528,169217,169228,10,-152062,0,0,0,1
529,169248,169248,1,-152093,0,0,0,1
530,169255,169257,3,-152100,0,0,0,1
531,169291,169308,13,-152136,0,0,0,1
532,169319,169319,1,-152164,0,0,0,1
533,169347,169347,1,-152192,0,0,0,1
534,169384,169392,6,-152229,0,0,0,1
535,169410,169429,18,-152255,0,0,0,1
536,169436,169446,7,-152281,0,0,0,1
537,169452,169461,10,-152297,0,0,0,1
538,169471,169487,16,-152316,0,0,0,1
539,169495,169520,25,-152340,0,0,0,1
540,169528,169529,2,-152373,0,0,0,1
