sensor_a,sensor_b,correlation_contaminated,abs_correlation_contaminated,correlation_clean,abs_correlation_clean,correlation_delta,abs_correlation_delta
sensor_17,sensor_35,0.5259490151289413,0.5259490151289413,0.0029810865682583653,0.0029810865682583653,0.522967928560683,0.522967928560683
sensor_28,sensor_31,0.784194981544983,0.784194981544983,0.26218474179873974,0.26218474179873974,0.5220102397462433,0.5220102397462433
sensor_17,sensor_31,0.5470625326906596,0.5470625326906596,-0.025108752984793998,0.025108752984793998,0.5721712856754536,0.5219537797058657
sensor_24,sensor_35,0.5412584412622431,0.5412584412622431,0.020834358878580293,0.020834358878580293,0.5204240823836628,0.5204240823836628
sensor_19,sensor_35,0.679893371694016,0.679893371694016,0.1603879206843685,0.1603879206843685,0.5195054510096475,0.5195054510096475
sensor_28,sensor_36,0.6617271919656998,0.6617271919656998,-0.14351546417130576,0.14351546417130576,0.8052426561370056,0.5182117277943941
sensor_18,sensor_36,0.5448452009604942,0.5448452009604942,0.02884710652865862,0.02884710652865862,0.5159980944318355,0.5159980944318355
sensor_36,sensor_39,0.5141067635585952,0.5141067635585952,-0.0006873285247618998,0.0006873285247618998,0.5147940920833571,0.5134194350338332
sensor_42,sensor_44,0.6240263099048747,0.6240263099048747,0.11167561167259678,0.11167561167259678,0.512350698232278,0.512350698232278
sensor_16,sensor_18,0.8215991132883963,0.8215991132883963,0.3099216760509603,0.3099216760509603,0.511677437237436,0.511677437237436
sensor_28,sensor_29,0.6557718713309535,0.6557718713309535,0.14503325568056064,0.14503325568056064,0.5107386156503928,0.5107386156503928
sensor_17,sensor_33,0.5193066585149981,0.5193066585149981,0.009934967979134207,0.009934967979134207,0.509371690535864,0.509371690535864
sensor_18,sensor_34,0.5445687889605842,0.5445687889605842,0.03882316990593275,0.03882316990593275,0.5057456190546515,0.5057456190546515
sensor_29,sensor_30,0.6201793655508968,0.6201793655508968,-0.11470264253022334,0.11470264253022334,0.7348820080811201,0.5054767230206735
sensor_23,sensor_33,0.6747198983866446,0.6747198983866446,-0.17394504128166335,0.17394504128166335,0.8486649396683079,0.5007748571049813
sensor_18,sensor_33,0.5062094167338193,0.5062094167338193,0.008517020670612259,0.008517020670612259,0.497692396063207,0.497692396063207
sensor_33,sensor_34,0.5992651657578285,0.5992651657578285,-0.10358329119372701,0.10358329119372701,0.7028484569515555,0.4956818745641015
sensor_18,sensor_29,0.5974081628146991,0.5974081628146991,-0.10189963150908776,0.10189963150908776,0.6993077943237869,0.49550853130561134
sensor_14,sensor_18,0.8389794423169096,0.8389794423169096,0.34668798596058753,0.34668798596058753,0.49229145635632204,0.49229145635632204
sensor_04,sensor_12,0.6927417484309771,0.6927417484309771,0.20051699968313275,0.20051699968313275,0.4922247487478444,0.4922247487478444
sensor_41,sensor_44,0.5637492028917062,0.5637492028917062,0.07779046046162474,0.07779046046162474,0.4859587424300814,0.4859587424300814
sensor_30,sensor_34,0.5069997906071191,0.5069997906071191,0.021415696905900995,0.021415696905900995,0.4855840937012181,0.4855840937012181
sensor_24,sensor_29,0.6089111508090824,0.6089111508090824,0.12429219005259247,0.12429219005259247,0.48461896075648997,0.48461896075648997
sensor_05,sensor_10,0.6366145716760448,0.6366145716760448,-0.15318555222260538,0.15318555222260538,0.7898001238986503,0.48342901945343947
sensor_36,sensor_42,0.5008640650769977,0.5008640650769977,-0.01769987250418434,0.01769987250418434,0.518563937581182,0.4831641925728133
sensor_25,sensor_36,0.7559549498445396,0.7559549498445396,0.2728358787165931,0.2728358787165931,0.4831190711279465,0.4831190711279465
sensor_17,sensor_36,0.5044064414945588,0.5044064414945588,0.023213229329436525,0.023213229329436525,0.4811932121651223,0.4811932121651223
sensor_17,sensor_32,0.5038216401094617,0.5038216401094617,-0.02280869366352466,0.02280869366352466,0.5266303337729864,0.48101294644593706
sensor_39,sensor_40,0.5650520297659926,0.5650520297659926,-0.08588252788940412,0.08588252788940412,0.6509345576553967,0.47916950187658847
sensor_02,sensor_11,0.5454510810641879,0.5454510810641879,-0.0723786318838309,0.0723786318838309,0.6178297129480188,0.47307244918035707
sensor_42,sensor_43,0.8368031993186179,0.8368031993186179,0.3672048594420259,0.3672048594420259,0.469598339876592,0.469598339876592
sensor_18,sensor_32,0.49922607934147367,0.49922607934147367,-0.02971422662152611,0.02971422662152611,0.5289403059629998,0.46951185271994755
sensor_22,sensor_30,0.5767535497308082,0.5767535497308082,0.10745701017603362,0.10745701017603362,0.46929653955477457,0.46929653955477457
sensor_14,sensor_17,0.8434148961188582,0.8434148961188582,0.375907844103539,0.375907844103539,0.4675070520153192,0.4675070520153192
sensor_22,sensor_25,0.8474587400369801,0.8474587400369801,0.38117080123641717,0.38117080123641717,0.4662879388005629,0.4662879388005629
sensor_25,sensor_34,0.7187227802383342,0.7187227802383342,0.2531162563616426,0.2531162563616426,0.46560652387669166,0.46560652387669166
sensor_30,sensor_36,0.5297932600364162,0.5297932600364162,0.07284162119891642,0.07284162119891642,0.45695163883749984,0.45695163883749984
sensor_20,sensor_21,0.9713023559334597,0.9713023559334597,0.514948522693923,0.514948522693923,0.4563538332395367,0.4563538332395367
sensor_30,sensor_33,0.545020799646678,0.545020799646678,0.08980608611424085,0.08980608611424085,0.4552147135324372,0.4552147135324372
sensor_04,sensor_10,0.7510977047835316,0.7510977047835316,0.29645174181046413,0.29645174181046413,0.4546459629730674,0.4546459629730674
