sensor_a,sensor_b,correlation_abnormal,abs_correlation_abnormal,correlation_clean,abs_correlation_clean,correlation_delta_abnormal_vs_clean,abs_correlation_delta_abnormal_vs_clean
sensor_22,sensor_27,0.9352137534964375,0.9352137534964375,0.15540966974426867,0.15540966974426867,0.7798040837521689,0.7798040837521689
sensor_02,sensor_20,0.7915270161676371,0.7915270161676371,0.015374377028718404,0.015374377028718404,0.7761526391389187,0.7761526391389187
sensor_19,sensor_23,0.9874095049685758,0.9874095049685758,0.21269141018926138,0.21269141018926138,0.7747180947793144,0.7747180947793144
sensor_02,sensor_30,0.8066300626111557,0.8066300626111557,-0.03267446882606614,0.03267446882606614,0.8393045314372218,0.7739555937850895
sensor_02,sensor_28,0.8017856355387897,0.8017856355387897,-0.027925475772772143,0.027925475772772143,0.8297111113115618,0.7738601597660175
sensor_02,sensor_16,0.7931634461329037,0.7931634461329037,-0.01952668054942663,0.01952668054942663,0.8126901266823303,0.773636765583477
sensor_02,sensor_27,0.8160050575052576,0.8160050575052576,-0.045785723008116945,0.045785723008116945,0.8617907805133745,0.7702193344971408
sensor_19,sensor_51,-0.7955844786877205,0.7955844786877205,0.025635684604493954,0.025635684604493954,-0.8212201632922145,0.7699487940832266
sensor_21,sensor_29,0.9065728748876023,0.9065728748876023,-0.14010745892555146,0.14010745892555146,1.0466803338131538,0.7664654159620509
sensor_10,sensor_28,0.9060907566764471,0.9060907566764471,0.1400645632695239,0.1400645632695239,0.7660261934069232,0.7660261934069232
sensor_02,sensor_21,0.7904117802178875,0.7904117802178875,0.026513831385449486,0.026513831385449486,0.763897948832438,0.763897948832438
sensor_02,sensor_19,0.7930472874073773,0.7930472874073773,0.03136142750020151,0.03136142750020151,0.7616858599071757,0.7616858599071757
sensor_19,sensor_29,0.9058329983675553,0.9058329983675553,-0.1493417203116024,0.1493417203116024,1.0551747186791576,0.7564912780559528
sensor_02,sensor_17,0.7954663248456884,0.7954663248456884,-0.03904403425939967,0.03904403425939967,0.834510359105088,0.7564222905862887
sensor_14,sensor_51,-0.7716541050254975,0.7716541050254975,0.0161290328070854,0.0161290328070854,-0.7877831378325829,0.755525072218412
sensor_39,sensor_44,0.7650497953719777,0.7650497953719777,-0.01024670774977845,0.01024670774977845,0.7752965031217561,0.7548030876221993
sensor_02,sensor_18,0.7967063351057617,0.7967063351057617,-0.043436088794724985,0.043436088794724985,0.8401424239004867,0.7532702463110368
sensor_02,sensor_22,0.8460977667217721,0.8460977667217721,-0.09309259795374128,0.09309259795374128,0.9391903646755133,0.7530051687680308
sensor_28,sensor_32,0.813050458550167,0.813050458550167,0.06289230397105519,0.06289230397105519,0.7501581545791118,0.7501581545791118
sensor_01,sensor_37,0.8008291559881433,0.8008291559881433,0.050761923414669126,0.050761923414669126,0.7500672325734742,0.7500672325734742
sensor_02,sensor_32,0.7839215449069804,0.7839215449069804,-0.03546191560509397,0.03546191560509397,0.8193834605120743,0.7484596293018865
sensor_23,sensor_33,0.9147076051571912,0.9147076051571912,-0.17394504128166335,0.17394504128166335,1.0886526464388546,0.7407625638755279
sensor_02,sensor_14,0.7862291797918508,0.7862291797918508,0.04569108653569159,0.04569108653569159,0.7405380932561593,0.7405380932561593
sensor_17,sensor_35,-0.7424826505677232,0.7424826505677232,0.0029810865682583653,0.0029810865682583653,-0.7454637371359816,0.7395015639994649
sensor_01,sensor_49,0.9181037136524121,0.9181037136524121,0.18139733309340084,0.18139733309340084,0.7367063805590113,0.7367063805590113
sensor_26,sensor_31,0.9422313355520092,0.9422313355520092,0.20783796371040553,0.20783796371040553,0.7343933718416037,0.7343933718416037
sensor_38,sensor_47,0.9961304409034603,0.9961304409034603,0.26254046142662485,0.26254046142662485,0.7335899794768355,0.7335899794768355
sensor_14,sensor_35,-0.7450652491306539,0.7450652491306539,-0.014392059593367507,0.014392059593367507,-0.7306731895372863,0.7306731895372863
sensor_21,sensor_22,0.9779134900583666,0.9779134900583666,0.24797230314241656,0.24797230314241656,0.72994118691595,0.72994118691595
sensor_23,sensor_24,0.9871630474116798,0.9871630474116798,0.25807305944934655,0.25807305944934655,0.7290899879623333,0.7290899879623333
sensor_13,sensor_51,-0.7827356869027624,0.7827356869027624,-0.054108429219476284,0.054108429219476284,-0.7286272576832862,0.7286272576832862
