sensor_a,sensor_b,correlation,abs_correlation
sensor_44,sensor_46,0.29667189572344516,0.29667189572344516
sensor_28,sensor_30,-0.29665948442202683,0.29665948442202683
sensor_04,sensor_10,0.29645174181046413,0.29645174181046413
sensor_13,sensor_42,-0.2948550010525506,0.2948550010525506
sensor_43,sensor_47,0.2918145616417103,0.2918145616417103
sensor_07,sensor_35,0.2910753098531879,0.2910753098531879
sensor_23,sensor_44,0.2893008718248424,0.2893008718248424
sensor_02,sensor_34,-0.28748735449026724,0.28748735449026724
sensor_13,sensor_39,-0.28701602092167394,0.28701602092167394
sensor_40,sensor_48,0.28698576002859955,0.28698576002859955
sensor_13,sensor_27,0.28607705302921443,0.28607705302921443
sensor_40,sensor_46,0.2846499884939221,0.2846499884939221
sensor_07,sensor_44,0.28231091597209984,0.28231091597209984
sensor_12,sensor_49,0.28178771471596936,0.28178771471596936
sensor_11,sensor_39,-0.28000391035224215,0.28000391035224215
sensor_01,sensor_03,0.2786956003339315,0.2786956003339315
sensor_31,sensor_33,0.27860340036661163,0.27860340036661163
sensor_11,sensor_42,-0.27845132170861275,0.27845132170861275
sensor_03,sensor_07,0.27830853708991754,0.27830853708991754
sensor_46,sensor_47,0.27806871118046617,0.27806871118046617
sensor_23,sensor_46,0.27797184237058375,0.27797184237058375
sensor_28,sensor_39,0.2777233182965047,0.2777233182965047
sensor_42,sensor_48,-0.27715309910827196,0.27715309910827196
sensor_33,sensor_37,0.2770097338374276,0.2770097338374276
sensor_12,sensor_28,-0.2763970061046339,0.2763970061046339
sensor_11,sensor_27,0.2762357482415192,0.2762357482415192
sensor_08,sensor_35,0.27600932297518893,0.27600932297518893
sensor_02,sensor_29,0.2759680628639253,0.2759680628639253
sensor_23,sensor_49,0.27417905088221906,0.27417905088221906
sensor_25,sensor_36,0.2728358787165931,0.2728358787165931
sensor_35,sensor_40,0.2723258993037654,0.2723258993037654
sensor_13,sensor_41,-0.27087563469634024,0.27087563469634024
sensor_27,sensor_48,0.27058626484126375,0.27058626484126375
sensor_22,sensor_24,0.26669793052476315,0.26669793052476315
sensor_27,sensor_35,0.26573901071206596,0.26573901071206596
sensor_07,sensor_46,0.2656358732830618,0.2656358732830618
sensor_11,sensor_41,-0.26543828871040587,0.26543828871040587
sensor_22,sensor_32,0.26456144398027603,0.26456144398027603
sensor_10,sensor_32,0.26444540873863615,0.26444540873863615
sensor_28,sensor_33,0.26402402669093383,0.26402402669093383
sensor_05,sensor_11,-0.26401955104357616,0.26401955104357616
sensor_19,sensor_22,0.26401791760064214,0.26401791760064214
sensor_28,sensor_35,-0.26303444167374374,0.26303444167374374
sensor_38,sensor_47,0.26254046142662485,0.26254046142662485
sensor_46,sensor_49,0.26246112637563296,0.26246112637563296
sensor_28,sensor_31,0.26218474179873974,0.26218474179873974
sensor_01,sensor_02,0.26213493809468186,0.26213493809468186
sensor_30,sensor_35,0.262067619066966,0.262067619066966
sensor_03,sensor_12,0.2616723106053604,0.2616723106053604
sensor_08,sensor_40,0.2599289986132872,0.2599289986132872
sensor_02,sensor_35,-0.2592972075506402,0.2592972075506402
sensor_12,sensor_23,0.25924800780488944,0.25924800780488944
sensor_23,sensor_24,0.25807305944934655,0.25807305944934655
sensor_05,sensor_39,0.258067723404567,0.258067723404567
sensor_05,sensor_08,-0.2569259251984775,0.2569259251984775
sensor_23,sensor_42,-0.2568013826484387,0.2568013826484387
sensor_05,sensor_22,-0.2554412724962374,0.2554412724962374
