feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
sensor_41,-0.00012231604277533514,0.0019563767750975314,0.017116941401395507,-0.0003339185052583641,-0.07317710727110606,-0.019213955427683636,0.30040759233731124,0.011585272142395159,0.04483745811363883,-0.013927470890224884
sensor_42,0.0004307845249800432,-0.0007783798007665521,0.008722348043533399,-0.003672998404265735,-0.08652040535788977,-0.03410459211505207,0.5553546244657487,0.0032179281542881327,0.0642875944884283,-0.034593826864603404
sensor_43,0.00043105411360202915,0.002943940839922128,0.02309451273442118,-0.003822888073465549,-0.05556119354900193,-0.012807895873345451,0.2849650457767011,0.034336638576040995,0.0279168591599618,0.012321682769213867
sensor_44,0.0012665654785685727,0.007297442832972638,0.0197664586500776,-0.0004478423745725605,-0.02624739795484392,-0.012949675858326792,0.05569898059165389,0.1181066689360023,0.014634232130530112,0.12405601033299546
sensor_45,0.0013029919394862619,0.007358509772273281,0.019737201823343903,-0.0005446451579120981,-0.025987617931946556,-0.019518463695677613,0.05937336909436781,0.13599778674046986,0.007523231300984534,0.15224360081391716
sensor_46,0.0011971011638800884,0.006327467248404936,0.019612222431345454,-0.0018075421881447167,-0.024568531542843,-0.01523404432248325,0.08996182262028571,0.09491069497424418,0.0015542870032852832,0.09364085371888964
sensor_47,0.0009662712092744846,0.007663772444263832,0.020865795660708498,0.0013347717970133624,-0.027061268588561033,-0.016158670696781313,0.0848756847324954,0.07190809923793817,0.007422429459375504,0.07898123339530314
sensor_48,0.0014623264100414846,0.005719682913797408,0.01869424922946464,0.0015592326144868722,0.0034454277211121253,-0.008166708407323572,-0.006761945326701001,0.05018147463774136,0.005200295377194852,0.04619074150274623
sensor_49,0.0015095532814441133,0.009270119629776656,0.028707759179177218,0.000590992878975523,-0.013561375659617143,-0.01585992266326533,0.023251643735628227,0.12675778747292493,0.06095392121939698,0.11651413205636313
sensor_51,0.0007734374022655421,0.018487078309136137,-0.0439109592299062,-0.002815751451777291,0.19717855470856205,-0.006202322606818522,-0.0734310551153092,0.4460785576326931,0.833849030566288,-0.02817309054940348
