sensor,state_scope,count,mean,std,min,max,median,iqr,p01,p05,p25,p50,p75,p95,p99,skewness,kurtosis,robust_std,distribution_family,lower_bound,upper_bound
sensor_14,recovery,14477,415.9980411134904,22.107855403513327,179.232,454.3613,420.2777,11.588000000000022,339.3617,407.02594,410.5465,420.2777,422.1345,425.14932,427.81633999999997,-8.792252217897744,84.47502325909308,8.590066716086007,left_skewed,339.3617,427.81633999999997
sensor_45,recovery,14472,33.28817905883055,14.312162011841085,26.331018447876,320.3125,30.96065,4.340283104247998,26.33102,27.199070000000003,28.93518,30.96065,33.275463104248,40.21991,102.4306,9.41678061038446,117.97208404450221,3.2174077866923634,right_skewed,26.33102,102.4306
sensor_44,recovery,14472,32.363662098988144,12.26922385308726,25.7523155212402,361.6898,30.6713,4.629626030883795,25.7523155212402,26.33102,28.6458339691162,30.6713,33.275459999999995,39.35185108764649,72.33796,14.577202858904807,303.22044466288025,3.431894759735949,right_skewed,25.7523155212402,72.33796
sensor_47,recovery,14472,34.29181325513444,11.386903284537778,27.199070000000003,303.5301,32.986110687255895,5.4976853436278965,27.488426208496104,27.7777786254883,30.381944656372102,32.986110687255895,35.87963,41.6666679382324,78.20891149999973,11.965615877080861,206.64879387517604,4.0753783125484775,right_skewed,27.488426208496104,78.20891149999973
sensor_09,recovery,9896,8.822056993468266,7.149102857592436,0.0,25.0,11.29196,15.046296203824431,0.007233796,0.0072337961755693,0.0072337961755693,11.29196,15.05353,17.65046,25.0,-0.05359229142160335,-1.1956566418917365,11.153666570663033,bounded_normal,0.007233796,25.0
sensor_07,recovery,9040,8.49514044425561,7.110820547255416,0.0,23.59664,11.34983,13.773151018656492,0.03616898,0.0361689813435078,0.0361689813435078,11.34983,13.80932,17.66493,23.32899,-0.03722779085610788,-1.2912061952600329,10.209896974541506,bounded_normal,0.03616898,23.32899
sensor_08,recovery,9384,9.117674396378101,6.991980730161856,0.02893518,24.34896,11.14005,12.717014815297723,0.02893518,0.0289351847022772,0.0289351847022772,11.14005,12.74595,21.12268,24.16088,-0.08918252049636173,-1.038214444722554,9.426993932763324,bounded_normal,0.02893518,24.16088
sensor_02,recovery,14472,39.92270051412962,5.127257072994046,33.15972,53.55902,38.715274810791,6.119792938232401,33.203125,33.7239570617676,36.0677070617676,38.715274810791,42.1875,50.0,52.30035,0.8007841189536583,-0.397078334057849,4.536540354508822,bounded_normal,33.203125,52.30035
sensor_06,recovery,9693,5.78486138026076,5.0823899429877315,0.01446759,22.25116,6.553819,10.069444815297723,0.01446759,0.0144675923511386,0.0289351847022772,6.553819,10.09838,12.62297,17.08623,0.10516726370408526,-1.3288656530080736,7.464377179612842,bounded_normal,0.01446759,17.08623
sensor_01,recovery,14447,39.22138582254976,4.368632046448149,32.20486,53.55902,38.67188,5.685755687255892,32.2916641235352,33.029514312744105,35.373264312744105,38.67188,41.05902,47.30902,48.13368,0.5029437060513438,-0.6458653482168755,4.214792948299401,bounded_normal,32.2916641235352,48.13368
sensor_11,recovery,14472,1.3696149052813336,3.5929541918284484,0.0,51.46463,0.0868055522441864,0.8563751749999999,0.0,0.0,0.0,0.0868055522441864,0.8563751749999999,5.582444899999998,18.252319599999993,5.363046698552207,40.96626674015021,0.6348222201630838,right_skewed,0.0,18.252319599999993
sensor_03,recovery,14472,37.856698010137166,3.504355007454871,31.64062,46.70139,37.717014312744105,5.555560000000007,31.9010410308838,32.8125,34.89583,37.717014312744105,40.45139,43.92361,44.81683782770991,0.32193827310894874,-0.9587407696943115,4.1182802075611615,bounded_normal,31.9010410308838,44.81683782770991
sensor_10,recovery,14472,1.6750439534383257,3.3005400386512163,0.0,58.23381,0.3597733999999999,1.66387165,0.0,0.08153963050000002,0.2459491,0.3597733999999999,1.90982075,6.197044299999999,14.22805,6.7858296912799405,73.30799955599345,1.233411156412157,right_skewed,0.0,14.22805
sensor_12,recovery,14472,0.19501078049125417,1.5494905999849649,0.0,33.04587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6777227799999996,6.114149249999985,13.863831844217874,223.77057540501653,0.0,right_skewed,0.0,6.114149249999985
