sensor,baseline_state,comparison_state,baseline_mean,comparison_mean,baseline_std,standardized_mean_shift,abs_standardized_mean_shift
sensor_25,normal,abnormal,644.5656881101465,630.5649428571429,227.02541734047773,-0.06167038658938455,0.06167038658938455
sensor_37,normal,abnormal,60.10886551785891,62.00537142857142,37.88177439489558,0.0500638088106047,0.0500638088106047
sensor_22,normal,abnormal,456.53725237934225,449.7530571428571,158.88501872333276,-0.04269877230085818,0.04269877230085818
sensor_48,normal,abnormal,158.88626764421016,161.1689709851074,78.70759836055471,0.02900232491455658,0.02900232491455658
sensor_17,normal,abnormal,418.5704298053522,422.0236857142857,133.04817489493865,0.025954928819281884,0.025954928819281884
sensor_24,normal,abnormal,551.4575563949588,549.1987,186.9128569342206,-0.01208507767742134,0.01208507767742134
sensor_19,normal,abnormal,586.1694598980263,584.4904428571429,205.05904261336934,-0.008187968789306905,0.008187968789306905
sensor_20,normal,abnormal,358.45104652702327,358.75291428571427,104.88776062895657,0.0028780074708513303,0.0028780074708513303
sensor_44,normal,abnormal,43.3806281029692,43.40544427994828,11.174819147581363,0.0022207229174219705,0.0022207229174219705
sensor_07,normal,recovery,16.16595896751733,8.49514044425561,0.6004569409879202,-12.77496852753683,12.77496852753683
sensor_09,normal,recovery,15.086661767032782,8.822056993468268,0.572969384652558,-10.933576804218427,10.933576804218427
sensor_08,normal,recovery,15.478129193161207,9.117674396378101,0.5886059129747478,-10.805964834158878,10.805964834158878
sensor_04,normal,recovery,625.6732839412786,93.03409338492798,50.82268415049867,-10.480343560349406,10.480343560349406
sensor_00,normal,recovery,2.420476021600454,0.055214796642676,0.242471833326895,-9.754787566475759,9.754787566475759
sensor_06,normal,recovery,13.86507255451698,5.784861380260759,0.8649434318447331,-9.341895523760341,9.341895523760341
sensor_10,normal,recovery,44.26891340196967,1.6750439534383257,6.048122078386731,-7.042494992080712,7.042494992080712
sensor_02,normal,recovery,51.63694928895343,39.92270051412962,1.8782990350830115,-6.236626094154436,6.236626094154436
sensor_11,normal,recovery,44.769888963101494,1.3696149052813338,7.602400649599189,-5.7087591220423635,5.7087591220423635
